version,commitId,file,addedLines,removedLines,nbCommits,nbCommitsPreviousSolveBug,nbCommitsPreviousEdited,nbDevelopers,nbDevelopersPrevious,averageTimeBetweenEdits,averageTimeBetweenEditsPrevious,averageExpertiseDeveloper,minimumExpertiseDeveloper,nbCommitsCommentEdited,nbCommitsNoCommentEdited,bugStatus
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/CompareOp.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/DoubleCompare.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/Equal.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/GreaterThan.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/GreaterThanOrEqual.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/IntCompare.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LessThan.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LessThanOrEqual.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/Like.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/LongCompare.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/NotEqual.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/PrimitiveComparison.java,0,0,0,0,2,0,2,,7011319.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/StringCompare.java,0,0,0,0,3,0,3,,18779163.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/package-info.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/package-info.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloCompositeRowId.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowIdFactory.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowSerializer.java,0,0,0,0,4,0,3,,12519442.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloSerDe.java,2,2,1,0,4,1,4,,23561611.666666668,1.0,1,0,1,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloSerDeParameters.java,0,0,0,0,4,0,3,,12519442.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/CompositeAccumuloRowIdFactory.java,0,0,0,0,2,0,2,,37558326.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/DefaultAccumuloRowIdFactory.java,0,0,0,0,2,0,2,,15288788.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/TooManyAccumuloColumnsException.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/TooManyHiveColumnsException.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloConnectionParameters.java,0,0,0,0,2,0,1,,25390566.0,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloHiveRow.java,0,0,0,0,1,0,1,,,0,0,0,0,0
rel/release-2.3.0,08e17ea53ae26e06d28661ac7d1b15cc870c889c,accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloStorageHandler.java,0,0,0,0,1,0,1,,,0,0,0,0,0
