Version,CommitId,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShowTxnsDesc.java",5,0,3,2,1,,,,,1,0,2,4,,4,4,1,4,,0,0,0,4,,55,9,19,11,5,27,,9,14,11,3,,1,,0,,,"1,42",4,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShuffleHandler.java",16,1,14,2,2,,,,,11,8,36,48,,48,40,40,48,,3,7,9,29,,1077,115,853,360,488,113,,458,582,306,346,,17,,4,,,"0,13",115,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShuffleReadMetrics.java",7,0,6,1,1,,,,,1,0,0,4,,4,4,4,4,,0,1,0,3,,76,11,33,18,10,32,,15,20,13,7,,1,,0,,,"0,97",4,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShuffleTran.java",5,0,5,0,1,,,,,1,0,0,8,,8,8,5,8,,0,0,0,8,,76,11,48,24,16,17,,24,34,20,15,,2,,1,,,"0,35",9,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShuffleWriteMetrics.java",5,0,4,0,1,,,,,1,0,0,3,,3,3,2,3,,0,1,0,2,,54,10,22,13,5,22,,10,14,10,4,,1,,0,,,"1,00",3,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"ShutdownHookManager.java",8,0,6,2,2,,,,,5,8,3,20,,20,12,5,20,,2,5,0,13,,256,35,148,50,67,73,,59,99,49,57,,3,,2,,,"0,49",33,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"Signal.java",3,0,3,1,1,,,,,2,0,0,5,,3,5,9,5,,2,0,0,3,,48,5,20,9,9,23,,12,16,9,7,,1,,0,,,"1,15",3,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SignedInt128.java",13,0,6,7,2,,,,,1,13,3,75,,75,62,2,75,,0,0,0,75,,1074,87,447,110,242,541,,187,295,91,211,,5,,2,,,"1,21",124,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleAllocator.java",6,0,6,0,2,,,,,1,0,1,10,,10,10,1,10,,0,0,0,10,,116,14,84,38,35,18,,40,57,29,30,,4,,2,,,"0,21",17,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleBufferManager.java",6,0,6,0,2,,,,,1,0,0,7,,7,7,2,7,,0,2,0,5,,78,10,51,22,18,17,,23,37,19,19,,3,,2,,,"0,33",12,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleCharStream.java",10,1,9,0,2,,,,,1,0,1,36,,36,36,15,36,,0,0,5,31,,417,74,327,82,203,16,,154,218,65,154,,10,,3,,,"0,05",67,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleExceptionMapper.java",3,0,3,0,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,2,11,8,1,22,,5,7,6,1,,1,,0,,,"2,00",1,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleFetchAggregation.java",18,3,15,0,2,,,,,2,0,0,4,,4,4,1,4,,0,1,0,3,,136,21,96,61,47,19,,72,82,58,42,,4,,1,,,"0,20",8,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleFetchOptimizer.java",15,1,15,0,4,,,,,2,1,0,22,,22,21,10,22,,0,16,0,6,,487,43,398,151,217,47,,225,308,147,202,,9,,3,,,"0,12",78,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleGenericUDAFParameterInfo.java",5,0,5,0,1,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,66,8,37,19,11,21,,18,25,15,10,,2,,1,,,"0,57",6,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleMapEqualComparer.java",19,0,19,0,4,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,48,3,23,12,13,22,,11,17,11,12,,4,,2,,,"0,96",4,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleNode.java",4,0,4,0,2,,,,,1,0,0,12,,12,12,4,12,,0,0,0,12,,85,16,58,21,22,11,,24,42,21,21,,4,,3,,,"0,19",18,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimplePredicatePushDown.java",55,5,46,4,2,,,,,1,0,1,1,,1,1,1,1,,0,0,0,1,,110,11,78,39,43,21,,50,53,37,22,,2,,1,,,"0,27",2,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleRead.java",14,1,12,0,2,,,,,2,1,2,3,,3,2,3,3,,0,0,1,2,,107,14,64,41,28,29,,47,53,36,21,,3,,1,,,"0,45",5,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.0,f90366404453ad9a42ed389f89dc7a23ccaa863c,"SimpleWebException.java",8,1,7,0,2,,,,,1,1,0,4,,4,3,2,4,,0,0,0,4,,72,9,39,17,18,24,,21,28,16,13,,3,,1,,,"0,62",6,,,,,,,,,,,0,0,"0,00","0,00"
