Version,CommitId,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"Table.java",15,1,14,1,4,,,,,6,3,23,108,,106,105,31,108,,1,2,0,105,,1849,187,1623,281,1087,81,,777,1148,253,957,,44,,4,,,"0,05",427,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"Table.java",7,0,6,1,2,,,,,2,6,2,108,,108,102,8,108,,0,4,1,103,,982,131,723,221,365,130,,315,504,214,322,,10,,4,,,"0,18",186,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TableFunctionEvaluator.java",6,0,5,0,1,,,,,1,0,0,22,,23,23,7,23,,0,0,8,15,,258,35,139,47,60,84,,56,89,45,45,,3,,1,,,"0,60",32,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TableScanDesc.java",4,0,4,0,1,,,,,1,0,4,56,,56,56,22,56,,0,0,0,56,,383,81,260,119,94,43,,122,185,106,87,,5,,2,,,"0,17",65,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TableScanOperator.java",10,0,9,1,2,,,,,1,1,1,27,,27,26,11,27,,0,2,2,23,,388,50,277,101,137,63,,139,203,94,121,,12,,4,,,"0,23",62,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"Task.java",14,0,13,1,4,,,,,6,3,15,80,,78,77,19,80,,1,2,0,77,,1295,133,1117,216,705,69,,531,786,204,626,,26,,4,,,"0,06",280,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"Task.java",5,0,4,0,1,,,,,4,1,11,84,,82,85,32,86,,1,1,8,76,,612,102,422,165,170,89,,179,297,157,149,,5,,3,,,"0,21",112,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TaskCommitContextRegistry.java",12,0,8,3,2,,,,,2,1,2,7,,9,8,1,9,,0,2,0,7,,150,20,78,30,38,53,,39,55,29,35,,3,,1,,,"0,68",14,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TaskExecutorService.java",17,1,15,1,3,,,,,8,0,6,36,,36,36,22,36,,1,8,1,26,,811,84,639,173,381,91,,273,409,146,300,,18,,5,,,"0,14",124,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TempletonUtils.java",14,1,11,2,3,,,,,2,25,9,26,,26,1,0,26,,0,0,0,26,,491,56,330,129,191,106,,176,253,124,171,,9,,4,,,"0,32",76,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TemporaryHashSinkOperator.java",7,1,6,1,2,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,46,6,21,12,5,19,,12,16,11,5,,2,,1,,,"0,90",3,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TerminalOperator.java",4,0,3,0,1,,,,,1,1,1,4,,4,3,0,4,,0,0,1,3,,51,9,21,12,5,21,,9,14,10,4,,1,,0,,,"1,00",4,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestAccumuloPredicateHandler.java",28,2,25,1,2,,,,,1,0,0,25,,25,25,3,25,,0,0,0,25,,823,88,688,368,531,47,,516,571,299,448,,11,,2,,,"0,07",51,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestAcidUtils.java",24,0,24,1,1,,,,,1,0,0,13,,13,13,0,13,,0,0,0,13,,370,19,324,130,257,27,,188,202,95,172,,1,,0,,,"0,08",13,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestAvroDeserializer.java",29,5,23,2,1,,,,,2,0,0,21,,21,21,4,21,,0,4,0,17,,692,135,512,261,400,51,,403,431,223,365,,3,,1,,,"0,10",26,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestAvroGenericRecordReader.java",10,2,7,2,1,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,59,10,29,20,6,20,,20,23,18,6,,1,,0,,,"0,69",2,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestAvroSerdeUtils.java",13,1,12,1,1,,,,,1,0,0,11,,11,11,2,11,,0,1,0,10,,208,22,164,74,103,26,,82,100,56,60,,4,,2,,,"0,16",16,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestAvroSerializer.java",12,1,11,0,1,,,,,2,0,0,33,,31,33,3,33,,0,3,0,30,,494,80,393,229,268,21,,259,294,180,206,,2,,1,,,"0,05",33,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestBeeLineWithArgs.java",14,1,10,3,1,,,,,1,3,3,48,,48,45,0,48,,0,7,0,41,,771,97,502,279,321,172,,310,366,220,218,,5,,2,,,"0,34",58,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestBinarySortableSerDe.java",23,2,20,1,4,,,,,1,4,1,6,,6,2,0,6,,0,1,0,5,,188,24,140,52,91,24,,98,117,55,77,,7,,3,,,"0,17",21,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestBitFieldReader.java",22,0,22,0,4,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,145,9,117,42,80,19,,69,90,38,68,,7,,2,,,"0,16",20,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestBuddyAllocator.java",10,0,10,0,2,,,,,6,0,1,23,,23,23,1,23,,0,8,0,15,,279,22,237,100,137,24,,137,180,88,109,,4,,2,,,"0,10",41,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestBytesBytesMultiHashMap.java",9,0,8,0,2,,,,,4,0,3,20,,20,20,9,20,,0,2,1,17,,245,27,196,84,108,23,,122,157,78,104,,4,,2,,,"0,12",32,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestCBORuleFiredOnlyOnce.java",16,3,11,2,2,,,,,3,0,1,6,,6,6,2,6,,0,1,2,3,,168,38,101,60,47,29,,66,79,53,43,,4,,1,,,"0,29",10,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestCLIAuthzSessionContext.java",8,0,7,1,1,,,,,2,2,2,4,,4,2,0,4,,0,0,0,4,,88,9,53,34,16,26,,36,42,29,16,,1,,0,,,"0,49",4,,,,,,,,,,,0,0,"0,00","0,00"
release-2.0.1,b6218275b00b64aed7efaf470784cc0441464f67,"TestCleaner.java",32,6,24,2,2,,,,,1,0,1,14,,14,14,0,14,,1,0,0,13,,509,98,361,143,285,50,,304,331,132,285,,4,,2,,,"0,14",24,,,,,,,,,,,0,0,"0,00","0,00"
